Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure,Month_Joined,Living_With,Is_Parent,Family_Size,Generation,Total_Accepted_Campaigns,AcceptedAnyCmp,Engagement_Rate,Total_Purchases,Total_Spending,Spend_per_Purchase,Recency_Score,Frequency_Score,Monetary_Score,Avg_RFM,RFM_Segment
Master's Degree,Married,44159.0,1,0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,0,53,12,6,With_Kids,1,2,Generation_X,0,0,0.0,15,275,18.333333333333332,1,3,3,2.3333333333333335,Can't Lose
Doctorate Degree,Married,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,45,583,11,With_Kids,1,2,Generation_X,0,0,0.0,4,25,6.25,4,1,1,2.0,New
Master's Degree,Together,43776.0,1,1,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,1,71,511,2,With_Kids_and_Teens,1,3,Baby_Boomers,1,1,16.666666666666664,17,275,16.176470588235293,5,3,3,3.6666666666666665,Champions
Master's Degree,Married,38179.0,1,1,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0,57,472,3,With_Kids_and_Teens,1,3,Baby_Boomers,0,0,0.0,11,90,8.181818181818182,4,2,2,2.6666666666666665,New
Bachelor's Degree,Married,80124.0,0,0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,60,3,6,Alone,0,1,Baby_Boomers,1,1,16.666666666666664,19,1495,78.6842105263158,3,4,5,4.0,Champions
Doctorate Degree,Married,38097.0,1,1,70,77,2,35,0,1,69,4,3,2,2,7,1,0,0,0,0,0,1,53,622,10,With_Kids_and_Teens,1,3,Generation_X,2,1,33.33333333333333,11,184,16.727272727272727,2,2,2,2.0,At Risk
Bachelor's Degree,Married,72940.0,0,0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,0,53,375,6,Alone,0,1,Generation_X,0,0,0.0,13,981,75.46153846153847,5,3,4,4.0,Champions
Bachelor's Degree,Together,22070.0,1,0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0,53,268,10,With_Kids,1,2,Generation_X,0,0,0.0,8,67,8.375,5,2,2,3.0,New
Bachelor's Degree,Single,69267.0,0,0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,1,70,645,9,Alone,0,0,Baby_Boomers,1,1,16.666666666666664,14,1635,116.78571428571429,4,3,5,4.0,Champions
Master's Degree,Single,31788.0,1,0,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,1,0,40,101,3,With_Kids,1,1,Millennials,0,0,0.0,10,60,6.0,5,2,2,3.0,New
Doctorate Degree,Together,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,48,145,2,With_Teens,1,2,Generation_X,0,0,0.0,12,231,19.25,5,3,3,3.6666666666666665,Champions
Bachelor's Degree,Married,29315.0,1,1,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,0,63,84,4,With_Kids_and_Teens,1,3,Baby_Boomers,0,0,0.0,10,48,4.8,3,2,1,2.0,Promising
Bachelor's Degree,Divorced,33378.0,1,1,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,0,60,508,2,With_Kids_and_Teens,1,2,Baby_Boomers,0,0,0.0,9,99,11.0,4,2,2,2.6666666666666665,New
Doctorate Degree,Together,66313.0,0,1,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,0,60,286,9,With_Teens,1,2,Baby_Boomers,0,0,0.0,23,770,33.47826086956522,1,5,4,3.3333333333333335,Can't Lose
Bachelor's Degree,Single,60714.0,0,0,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,1,67,528,1,Alone,0,0,Baby_Boomers,1,1,16.666666666666664,23,957,41.608695652173914,3,5,4,4.0,Champions
Master's Degree,Together,77882.0,0,0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,42,60,4,Alone,0,1,Generation_X,0,0,0.0,12,818,68.16666666666667,4,3,4,3.6666666666666665,Champions
Doctorate Degree,Single,69867.0,0,0,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,0,1,37,453,4,Alone,0,0,Millennials,2,1,33.33333333333333,17,925,54.411764705882355,4,3,4,3.6666666666666665,Champions
Master's Degree,Divorced,63841.0,0,1,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,55,434,4,With_Teens,1,1,Generation_X,0,0,0.0,22,908,41.27272727272727,2,4,4,3.3333333333333335,Can't Lose
High School,Married,24480.0,1,0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,0,42,503,2,With_Kids,1,2,Generation_X,0,0,0.0,10,102,10.2,3,2,2,2.3333333333333335,Promising
Bachelor's Degree,Together,51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0,47,612,10,With_Teens,1,2,Generation_X,0,0,0.0,16,576,36.0,1,3,3,2.3333333333333335,Can't Lose
Bachelor's Degree,Together,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,77,667,8,Alone,0,1,Silent_Generation,0,0,0.0,13,317,24.384615384615383,4,3,3,3.3333333333333335,Champions
Doctorate Degree,Together,65640.0,0,1,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,0,49,120,3,With_Teens,1,2,Generation_X,0,0,0.0,15,461,30.733333333333334,2,3,3,2.6666666666666665,Can't Lose
Master's Degree,Married,44319.0,1,1,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,0,48,73,4,With_Kids_and_Teens,1,3,Generation_X,0,0,0.0,7,37,5.285714285714286,5,1,1,2.3333333333333335,New
Bachelor's Degree,Married,30631.0,1,0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,0,49,352,7,With_Kids,1,2,Generation_X,0,0,0.0,7,70,10.0,2,1,2,1.6666666666666667,Lost
Bachelor's Degree,Together,75278.0,0,0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,0,71,516,1,Alone,0,1,Baby_Boomers,0,0,0.0,23,930,40.43478260869565,5,5,4,4.666666666666667,Champions
Master's Degree,Together,50898.0,1,1,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,0,67,537,1,With_Kids_and_Teens,1,3,Baby_Boomers,0,0,0.0,33,859,26.03030303030303,1,5,4,3.3333333333333335,Can't Lose
Master's Degree,Divorced,35416.0,0,0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0,0,0,0,0,74,381,6,Alone,0,0,Baby_Boomers,0,0,0.0,16,390,24.375,2,3,3,2.6666666666666665,Can't Lose
Associate's Degree,Together,32414.0,0,0,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,0,39,360,7,Alone,0,1,Millennials,1,1,16.666666666666664,5,52,10.4,5,1,1,2.3333333333333335,New
Bachelor's Degree,Together,38361.0,1,0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,0,0,0,0,0,54,184,12,With_Kids,1,2,Generation_X,0,0,0.0,10,137,13.7,2,2,2,2.0,At Risk
Bachelor's Degree,Married,82497.0,0,0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,0,43,606,10,Alone,0,1,Generation_X,1,1,16.666666666666664,19,1919,101.0,4,4,5,4.333333333333333,Champions
Bachelor's Degree,Together,16626.0,2,0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,0,52,165,1,Alone,1,3,Generation_X,0,0,0.0,9,68,7.555555555555555,2,2,2,2.0,At Risk
Bachelor's Degree,Together,29672.0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,58,474,3,With_Kids_and_Teens,1,3,Baby_Boomers,0,0,0.0,4,25,6.25,5,1,1,2.3333333333333335,New
Master's Degree,Together,55951.0,0,1,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,0,71,675,8,With_Teens,1,2,Baby_Boomers,2,1,33.33333333333333,23,1374,59.73913043478261,2,5,5,4.0,Can't Lose
Associate's Degree,Divorced,35388.0,1,0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0,0,0,0,0,35,479,3,With_Kids,1,1,Millennials,0,0,0.0,5,32,6.4,4,1,1,2.0,New
Master's Degree,Together,42386.0,1,0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,0,37,532,1,With_Kids,1,2,Millennials,0,0,0.0,7,100,14.285714285714286,3,1,2,2.0,Promising
Bachelor's Degree,Single,68627.0,0,0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,0,41,533,1,Alone,0,0,Generation_X,0,0,0.0,12,825,68.75,3,3,4,3.3333333333333335,Champions
Doctorate Degree,Divorced,57912.0,0,1,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,0,58,104,3,With_Teens,1,1,Baby_Boomers,1,1,16.666666666666664,28,916,32.714285714285715,4,5,4,4.333333333333333,Champions
Bachelor's Degree,Divorced,35246.0,1,1,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,0,65,74,4,With_Kids_and_Teens,1,2,Baby_Boomers,0,0,0.0,11,62,5.636363636363637,3,2,2,2.3333333333333335,Promising
Associate's Degree,Together,58821.0,0,1,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,0,67,260,10,With_Teens,1,2,Baby_Boomers,0,0,0.0,21,728,34.666666666666664,3,4,4,3.6666666666666665,Champions
Doctorate Degree,Married,46377.0,1,0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,0,0,0,0,0,45,120,3,With_Kids,1,2,Generation_X,0,0,0.0,7,90,12.857142857142858,1,1,2,1.3333333333333333,Lost
Bachelor's Degree,Single,39747.0,1,0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,0,35,77,4,With_Kids,1,1,Millennials,0,0,0.0,13,273,21.0,3,3,3,3.0,Champions
Bachelor's Degree,Together,23976.0,1,0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,0,0,0,0,0,39,184,12,With_Kids,1,2,Millennials,0,0,0.0,10,66,6.6,2,2,2,2.0,At Risk
Master's Degree,Married,80950.0,0,0,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,0,62,458,3,Alone,0,1,Baby_Boomers,1,1,16.666666666666664,23,1213,52.73913043478261,3,5,5,4.333333333333333,Champions
Bachelor's Degree,Widow,27038.0,0,0,64,1,26,25,17,23,15,1,3,0,3,9,0,0,0,0,0,0,1,57,649,9,Alone,0,0,Baby_Boomers,1,1,16.666666666666664,7,107,15.285714285714286,2,1,2,1.6666666666666667,Lost
Bachelor's Degree,Single,77457.0,0,0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,0,76,116,3,Alone,0,0,Silent_Generation,1,1,16.666666666666664,18,1157,64.27777777777777,1,4,4,3.0,Can't Lose
Master's Degree,Married,64100.0,0,1,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,0,59,292,9,With_Teens,1,2,Baby_Boomers,1,1,16.666666666666664,18,546,30.333333333333332,1,4,3,2.6666666666666665,Can't Lose
Master's Degree,Together,42670.0,0,0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,0,31,428,4,Alone,0,1,Millennials,0,0,0.0,11,241,21.90909090909091,5,2,3,3.3333333333333335,New
Bachelor's Degree,Divorced,12571.0,1,0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,0,47,162,1,With_Kids,1,1,Generation_X,0,0,0.0,11,53,4.818181818181818,1,2,1,1.3333333333333333,At Risk
Bachelor's Degree,Married,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,56,244,10,Alone,1,4,Generation_X,0,0,0.0,7,37,5.285714285714286,4,1,1,2.0,New
Bachelor's Degree,Married,51381.5,0,0,69,861,138,461,60,30,61,1,6,5,12,3,0,1,0,1,0,0,0,34,391,6,Alone,0,1,Millennials,2,1,33.33333333333333,24,1611,67.125,2,5,5,4.0,Can't Lose
Master's Degree,Single,70893.0,0,0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,0,47,508,2,Alone,0,0,Generation_X,0,0,0.0,23,1508,65.56521739130434,3,5,5,4.333333333333333,Champions
Bachelor's Degree,Married,54198.0,1,1,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,0,57,194,12,With_Kids_and_Teens,1,3,Baby_Boomers,0,0,0.0,16,235,14.6875,5,3,3,3.6666666666666665,Champions
Master's Degree,Together,28839.0,1,1,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0,67,110,3,With_Kids_and_Teens,1,3,Baby_Boomers,0,0,0.0,7,32,4.571428571428571,1,1,1,1.0,Lost
Bachelor's Degree,Married,40321.0,1,1,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0,51,335,7,With_Kids_and_Teens,1,3,Generation_X,0,0,0.0,8,102,12.75,2,2,2,2.0,At Risk
Bachelor's Degree,Single,66503.0,1,0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0,38,684,8,With_Kids,1,1,Millennials,0,0,0.0,15,401,26.733333333333334,4,3,3,3.3333333333333335,Champions
Bachelor's Degree,Married,30833.0,1,1,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,72,348,7,With_Kids_and_Teens,1,3,Baby_Boomers,0,0,0.0,6,28,4.666666666666667,4,1,1,2.0,New
Bachelor's Degree,Single,51381.5,1,2,67,738,20,172,52,50,20,6,2,3,10,7,0,1,0,1,0,0,0,53,310,8,Alone,1,3,Generation_X,2,1,33.33333333333333,21,1052,50.095238095238095,2,4,4,3.3333333333333335,Can't Lose
Bachelor's Degree,Married,64795.0,0,1,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0,52,528,1,With_Teens,1,2,Generation_X,0,0,0.0,21,680,32.38095238095238,4,4,4,4.0,Champions
Bachelor's Degree,Married,34421.0,1,0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,0,49,363,7,With_Kids,1,2,Generation_X,0,0,0.0,4,30,7.5,1,1,1,1.0,Lost
Doctorate Degree,Divorced,47025.0,1,1,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,58,140,2,With_Kids_and_Teens,1,2,Baby_Boomers,0,0,0.0,4,20,5.0,5,1,1,2.3333333333333335,New
Doctorate Degree,Divorced,64325.0,0,1,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,0,62,507,2,With_Teens,1,1,Baby_Boomers,0,0,0.0,23,1307,56.82608695652174,3,5,5,4.333333333333333,Champions
Bachelor's Degree,Single,40464.0,0,1,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,0,70,534,1,With_Teens,1,1,Baby_Boomers,0,0,0.0,24,630,26.25,2,5,3,3.3333333333333335,Can't Lose
Bachelor's Degree,Married,62187.0,0,0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0,66,359,7,Alone,0,1,Baby_Boomers,0,0,0.0,18,1283,71.27777777777777,3,4,5,4.0,Champions
Doctorate Degree,Divorced,14849.0,1,0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0,0,47,362,7,With_Kids,1,1,Generation_X,0,0,0.0,9,65,7.222222222222222,4,2,2,2.6666666666666665,New
Bachelor's Degree,Married,27255.0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,39,234,11,With_Kids,1,2,Millennials,0,0,0.0,5,37,7.4,5,1,1,2.3333333333333335,New
Doctorate Degree,Married,54432.0,2,1,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,0,73,416,5,Alone,1,4,Baby_Boomers,0,0,0.0,5,38,7.6,4,1,1,2.0,New
Doctorate Degree,Single,29999.0,1,0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,0,37,501,2,With_Kids,1,1,Millennials,0,0,0.0,12,160,13.333333333333334,4,3,2,3.0,Champions
Bachelor's Degree,Single,24072.0,1,0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,0,40,439,4,With_Kids,1,1,Millennials,0,0,0.0,4,23,5.75,2,1,1,1.3333333333333333,Lost
Doctorate Degree,Single,33996.0,0,0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0,34,291,9,Alone,0,0,Millennials,0,0,0.0,6,71,11.833333333333334,3,1,2,2.0,Promising
Doctorate Degree,Married,66334.0,0,1,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,1,67,452,4,With_Teens,1,2,Baby_Boomers,1,1,16.666666666666664,19,1161,61.10526315789474,1,4,4,3.0,Can't Lose
Master's Degree,Married,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,52,535,1,With_Kids,1,2,Generation_X,2,1,33.33333333333333,5,59,11.8,5,1,2,2.6666666666666665,New
Bachelor's Degree,Together,22010.0,1,0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,0,40,364,6,With_Kids,1,2,Millennials,0,0,0.0,7,33,4.714285714285714,3,1,1,1.6666666666666667,Promising
Bachelor's Degree,Divorced,62204.0,0,2,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,0,63,655,9,Alone,1,2,Baby_Boomers,0,0,0.0,22,946,43.0,4,4,4,4.0,Champions
Bachelor's Degree,Divorced,75693.0,0,0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,0,1,55,570,12,Alone,0,0,Generation_X,4,1,66.66666666666666,22,1442,65.54545454545455,5,4,5,4.666666666666667,Champions
Bachelor's Degree,Married,30675.0,1,0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,0,51,594,11,With_Kids,1,2,Generation_X,0,0,0.0,5,62,12.4,5,1,2,2.6666666666666665,New
Bachelor's Degree,Together,83003.0,0,0,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,1,58,483,3,Alone,0,1,Baby_Boomers,2,1,33.33333333333333,22,1674,76.0909090909091,5,4,5,4.666666666666667,Champions
Bachelor's Degree,Single,68655.0,0,0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0,35,688,8,Alone,0,0,Millennials,0,0,0.0,21,1538,73.23809523809524,1,4,5,3.3333333333333335,Can't Lose
Bachelor's Degree,Divorced,41411.0,0,0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0,37,204,12,Alone,0,0,Millennials,0,0,0.0,8,139,17.375,5,2,2,3.0,New
Doctorate Degree,Married,55212.0,0,1,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,0,54,583,11,With_Teens,1,2,Generation_X,2,1,33.33333333333333,20,1182,59.1,2,4,5,3.6666666666666665,Can't Lose
Doctorate Degree,Together,59292.0,0,1,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,0,73,381,6,With_Teens,1,2,Baby_Boomers,0,0,0.0,18,507,28.166666666666668,2,4,3,3.0,Can't Lose
High School,Together,27190.0,1,0,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,1,50,318,8,With_Kids,1,2,Generation_X,2,1,33.33333333333333,4,18,4.5,5,1,1,2.3333333333333335,New
Bachelor's Degree,Divorced,82623.0,0,0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,71,231,11,Alone,0,0,Baby_Boomers,0,0,0.0,16,940,58.75,3,3,4,3.3333333333333335,Champions
Bachelor's Degree,Married,44300.0,1,1,65,30,0,9,0,0,3,2,1,0,3,6,0,0,0,0,0,0,0,58,371,6,With_Kids_and_Teens,1,3,Baby_Boomers,0,0,0.0,6,42,7.0,2,1,1,1.3333333333333333,Lost
Bachelor's Degree,Divorced,84835.0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,1,53,13,6,Alone,0,0,Generation_X,1,1,16.666666666666664,15,1190,79.33333333333333,5,3,5,4.333333333333333,Champions
Bachelor's Degree,Widow,30372.0,1,1,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,52,551,12,With_Kids_and_Teens,1,2,Generation_X,0,0,0.0,8,44,5.5,4,2,1,2.3333333333333335,New
Master's Degree,Married,33181.0,1,0,90,9,0,3,0,0,4,1,1,0,2,6,1,0,0,0,0,0,0,47,177,1,With_Kids,1,2,Generation_X,1,1,16.666666666666664,4,16,4.0,1,1,1,1.0,Lost
Bachelor's Degree,Married,71113.0,0,1,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,0,66,194,12,With_Teens,1,2,Baby_Boomers,0,0,0.0,26,835,32.11538461538461,1,5,4,3.3333333333333335,Can't Lose
Bachelor's Degree,Married,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,37,535,1,With_Kids,1,2,Millennials,2,1,33.33333333333333,22,1443,65.5909090909091,1,4,5,3.3333333333333335,Can't Lose
Doctorate Degree,Single,69759.0,0,0,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,1,57,244,10,Alone,0,0,Baby_Boomers,1,1,16.666666666666664,18,1029,57.166666666666664,4,4,4,4.0,Champions
Bachelor's Degree,Married,72099.0,0,0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,0,49,610,10,Alone,0,1,Generation_X,0,0,0.0,18,1188,66.0,5,4,5,4.666666666666667,Champions
Doctorate Degree,Single,60000.0,0,1,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,0,47,554,12,With_Teens,1,1,Generation_X,0,0,0.0,24,1277,53.208333333333336,3,5,5,4.333333333333333,Champions
Bachelor's Degree,Single,38643.0,1,1,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,1,0,45,212,11,With_Kids_and_Teens,1,2,Generation_X,0,0,0.0,7,49,7.0,3,1,1,1.6666666666666667,Promising
Bachelor's Degree,Married,50737.0,0,1,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,0,68,414,5,With_Teens,1,2,Baby_Boomers,1,1,16.666666666666664,7,99,14.142857142857142,2,1,2,1.6666666666666667,Lost
Doctorate Degree,Married,68462.0,0,0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,54,564,12,Alone,0,1,Generation_X,0,0,0.0,15,1670,111.33333333333333,5,3,5,4.333333333333333,Champions
Master's Degree,Married,65073.0,0,0,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,1,0,80,313,8,Alone,0,1,Silent_Generation,0,0,0.0,14,900,64.28571428571429,2,3,4,3.0,Can't Lose
Doctorate Degree,Together,46681.0,0,2,52,269,15,69,15,19,38,2,4,6,4,5,0,0,0,0,0,0,0,75,264,10,Alone,1,3,Baby_Boomers,0,0,0.0,16,425,26.5625,3,3,3,3.0,Champions
Bachelor's Degree,Married,78618.0,0,0,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,0,66,639,9,Alone,0,1,Baby_Boomers,1,1,16.666666666666664,22,2153,97.86363636363636,1,4,5,3.3333333333333335,Can't Lose
Doctorate Degree,Widow,62187.0,0,1,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,0,54,99,3,With_Teens,1,1,Generation_X,0,0,0.0,21,636,30.285714285714285,4,4,4,4.0,Champions
Bachelor's Degree,Married,28442.0,2,0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,0,0,0,0,0,45,125,2,Alone,1,3,Generation_X,0,0,0.0,10,57,5.7,3,2,2,2.3333333333333335,Promising
Doctorate Degree,Married,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,45,583,11,With_Kids,1,2,Generation_X,0,0,0.0,4,25,6.25,4,1,1,2.0,New
Bachelor's Degree,Married,51479.0,1,1,67,247,8,160,6,8,65,7,6,3,6,7,0,0,0,0,0,0,0,56,548,12,With_Kids_and_Teens,1,3,Generation_X,0,0,0.0,22,494,22.454545454545453,2,4,3,3.0,Can't Lose
Bachelor's Degree,Single,54803.0,0,1,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,0,54,677,8,With_Teens,1,1,Generation_X,0,0,0.0,19,693,36.473684210526315,2,4,4,3.3333333333333335,Can't Lose
Bachelor's Degree,Married,79530.0,0,0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,0,63,408,5,Alone,0,1,Baby_Boomers,0,0,0.0,26,1348,51.84615384615385,2,5,5,4.0,Can't Lose
Bachelor's Degree,Divorced,31615.0,1,0,82,2,3,20,6,11,9,2,2,0,3,7,0,0,0,0,0,0,0,47,470,3,With_Kids,1,1,Generation_X,0,0,0.0,7,51,7.285714285714286,1,1,1,1.0,Lost
Bachelor's Degree,Together,72025.0,0,0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,61,589,11,Alone,0,1,Baby_Boomers,0,0,0.0,16,1932,120.75,4,3,5,4.0,Champions
Doctorate Degree,Single,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,48,575,12,With_Teens,1,1,Generation_X,0,0,0.0,16,990,61.875,2,3,4,3.0,Can't Lose
Associate's Degree,Married,35684.0,1,0,66,10,4,7,0,6,3,1,1,0,3,6,0,0,0,0,0,0,0,39,68,4,With_Kids,1,2,Millennials,0,0,0.0,5,30,6.0,2,1,1,1.3333333333333333,Lost
Bachelor's Degree,Married,48178.0,1,1,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0,0,0,0,0,48,609,10,With_Kids_and_Teens,1,3,Generation_X,0,0,0.0,16,254,15.875,2,3,3,2.6666666666666665,Can't Lose
Master's Degree,Single,29548.0,1,0,52,7,1,6,3,1,11,1,1,1,2,4,1,0,0,0,0,0,0,53,304,8,With_Kids,1,1,Generation_X,1,1,16.666666666666664,5,29,5.8,3,1,1,1.6666666666666667,Promising
Bachelor's Degree,Single,63810.0,0,1,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,0,57,595,11,With_Teens,1,1,Baby_Boomers,1,1,16.666666666666664,23,1371,59.608695652173914,3,5,5,4.333333333333333,Champions
Doctorate Degree,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,1,51,372,6,With_Kids_and_Teens,1,2,Generation_X,1,1,16.666666666666664,9,73,8.11111111111111,5,2,2,3.0,New
Master's Degree,Single,46098.0,1,1,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,0,48,680,8,With_Kids_and_Teens,1,2,Generation_X,0,0,0.0,11,120,10.909090909090908,1,2,2,1.6666666666666667,At Risk
Bachelor's Degree,Single,22585.0,0,0,23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,0,1,53,468,3,Alone,0,0,Generation_X,2,1,33.33333333333333,5,81,16.2,4,1,2,2.3333333333333335,New
Bachelor's Degree,Single,30279.0,1,0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,34,546,12,With_Kids,1,1,Millennials,0,0,0.0,5,37,7.4,5,1,1,2.3333333333333335,New
